State,Gender,Assault Type,Estimate
New South Wales,Male,Sexual assault,18.85
Victoria,Male,Sexual assault,13
Queensland,Male,Sexual assault,15
South Australia,Male,Sexual assault,14.1
Western Australia,Male,Sexual assault,12.25
Tasmania,Male,Sexual assault,13.8
Northern Territory,Male,Sexual assault,11.4
Australian Capital Territory,Male,Sexual assault,10.7
New South Wales,Female,Sexual assault,81.15
Victoria,Female,Sexual assault,87
Queensland,Female,Sexual assault,85
South Australia,Female,Sexual assault,85.9
Western Australia,Female,Sexual assault,87.75
Tasmania,Female,Sexual assault,86.2
Northern Territory,Female,Sexual assault,88.6
Australian Capital Territory,Female,Sexual assault,89.3
