Country,Ratio at birth
AFG,1.052
ALB,1.072
DZA,1.046
ASM,1.06
AND,1.062
AGO,1.027
ATG,1.032
ARG,1.051
ARM,1.091
ABW,1.043
AUS,1.056
AUT,1.055
AZE,1.122
BHS,1.028
BHR,1.039
BGD,1.05
BRB,1.035
BLR,1.058
BEL,1.048
BLZ,1.052
BEN,1.041
BMU,1.04
BTN,1.048
BOL,1.042
BIH,1.068
BWA,1.032
BRA,1.045
VGB,1.053
BRN,1.077
BGR,1.06
BFA,1.041
BDI,1.025
CPV,1.033
KHM,1.052
CMR,1.03
CAN,1.054
CYM,1.036
CAF,1.033
TCD,1.042
CHI,1.054
CHL,1.042
CHN,1.113
COL,1.045
COM,1.032
COD,1.023
COG,1.026
CRI,1.045
CIV,1.03
HRV,1.06
CUB,1.072
CUW,1.048
CYP,1.065
CZE,1.053
DNK,1.057
DJI,1.037
DMA,1.036
DOM,1.044
ECU,1.047
EGY,1.054
SLV,1.048
GNQ,1.031
ERI,1.032
EST,1.061
SWZ,1.03
ETH,1.055
FRO,1.067
FJI,1.071
FIN,1.052
FRA,1.049
PYF,1.059
GAB,1.021
GMB,1.032
GEO,1.067
DEU,1.056
GHA,1.038
GIB,1.065
GRC,1.064
GRL,1.05
GRD,1.04
GUM,1.07
GTM,1.039
GIN,1.045
GNB,1.041
GUY,1.037
HTI,1.03
HND,1.051
HKG,1.077
HUN,1.058
ISL,1.061
IND,1.075
IDN,1.061
IRN,1.053
IRQ,1.057
IRL,1.055
IMN,1.05
ISR,1.054
ITA,1.059
JAM,1.039
JPN,1.051
JOR,1.049
KAZ,1.065
KEN,1.022
KIR,1.071
PRK,1.06
KOR,1.058
XKX,1.069
KWT,1.048
KGZ,1.057
LAO,1.053
LVA,1.065
LBN,1.053
LSO,1.028
LBR,1.039
LBY,1.057
LIE,1.163
LTU,1.052
LUX,1.052
MAC,1.08
MDG,1.039
MWI,1.014
MYS,1.066
MDV,1.05
MLI,1.033
MLT,1.067
MHL,1.07
MRT,1.033
MUS,1.035
MEX,1.039
FSM,1.07
MDA,1.063
MCO,1.048
MNG,1.045
MNE,1.071
MAR,1.047
MOZ,1.02
MMR,1.066
NAM,1.011
NRU,1.072
NPL,1.05
NLD,1.052
NCL,1.059
NZL,1.053
NIC,1.035
NER,1.04
NGA,1.038
MKD,1.077
MNP,1.151
NOR,1.062
OMN,1.043
PAK,1.055
PLW,1.077
PAN,1.055
PNG,1.077
PRY,1.05
PER,1.041
PHL,1.077
POL,1.06
PRT,1.055
PRI,1.052
QAT,1.039
ROU,1.055
RUS,1.057
RWA,1.026
WSM,1.076
SMR,1.066
STP,1.027
SAU,1.051
SEN,1.031
SRB,1.069
SYC,1.036
SLE,1.033
SGP,1.06
SXM,1.039
SVK,1.054
SVN,1.064
SLB,1.07
SOM,1.044
ZAF,1.04
SDS,1.035
ESP,1.063
LKA,1.044
KNA,1.037
LCA,1.031
MAF,1.04
VCT,1.033
SDN,1.041
SUR,1.04
SWE,1.057
CHE,1.051
SYR,1.052
TJK,1.063
TZA,1.03
THA,1.064
TLS,1.071
TGO,1.028
TON,1.081
TTO,1.041
TUN,1.052
TUR,1.051
TKM,1.067
TCA,1.049
TUV,1.07
UGA,1.029
UKR,1.063
ARE,1.046
GBR,1.055
USA,1.048
URY,1.056
UZB,1.08
VUT,1.07
VEN,1.053
VNM,1.111
VIR,1.039
PSE,1.051
YEM,1.059
ZMB,1.011
ZWE,1.024
