State,Gender,Earning
New South Wales,Male,2013.0
Victoria,Male,1963.0
Queensland,Male,2002.0
South Australia,Male,1843.0
Western Australia,Male,2258.0
Tasmania,Male,1742.0
Northern Territory,Male,1976.0
Australian Capital Territory,Male,2215.0
New South Wales,Female,1815.0
Victoria,Female,1757.0
Queensland,Female,1751.0
South Australia,Female,1662.0
Western Australia,Female,1819.7
Tasmania,Female,1654.7
Northern Territory,Female,1712.1
Australian Capital Territory,Female,2027.3
,,
