Country,Year,Population Female
AFG,1960,48.083054
AFG,1961,48.165
AFG,1962,48.24237
AFG,1963,48.31589
AFG,1964,48.385273
AFG,1965,48.450287
AFG,1966,48.511803
AFG,1967,48.570465
AFG,1968,48.626003
AFG,1969,48.677998
AFG,1970,48.7267
AFG,1971,48.772846
AFG,1972,48.816353
AFG,1973,48.856632
AFG,1974,48.89353
AFG,1975,48.927197
AFG,1976,48.95803
AFG,1977,48.985825
AFG,1978,49.021606
AFG,1979,49.078747
AFG,1980,49.14741
AFG,1981,49.21617
AFG,1982,49.304375
AFG,1983,49.40337
AFG,1984,49.538807
AFG,1985,49.710514
AFG,1986,49.837795
AFG,1987,49.91544
AFG,1988,49.964657
AFG,1989,49.981495
AFG,1990,49.990753
AFG,1991,49.996506
AFG,1992,50.001846
AFG,1993,49.987423
AFG,1994,49.96324
AFG,1995,49.939026
AFG,1996,49.907192
AFG,1997,49.873787
AFG,1998,49.84332
AFG,1999,49.8111
AFG,2000,49.775112
AFG,2001,49.740204
AFG,2002,49.70442
AFG,2003,49.669167
AFG,2004,49.635086
AFG,2005,49.604652
AFG,2006,49.579548
AFG,2007,49.550983
AFG,2008,49.52546
AFG,2009,49.505856
AFG,2010,49.483707
AFG,2011,49.467667
AFG,2012,49.455578
AFG,2013,49.442104
AFG,2014,49.432137
AFG,2015,49.423183
AFG,2016,49.414608
AFG,2017,49.419285
AFG,2018,49.43721
AFG,2019,49.455486
AFG,2020,49.470943
AFG,2021,49.488403
AFG,2022,49.50872
ALB,1960,48.797123
ALB,1961,48.769444
ALB,1962,48.734352
ALB,1963,48.691364
ALB,1964,48.64293
ALB,1965,48.592712
ALB,1966,48.54249
ALB,1967,48.491707
ALB,1968,48.440876
ALB,1969,48.390232
ALB,1970,48.34052
ALB,1971,48.29313
ALB,1972,48.24947
ALB,1973,48.209198
ALB,1974,48.174244
ALB,1975,48.14816
ALB,1976,48.13157
ALB,1977,48.12204
ALB,1978,48.12142
ALB,1979,48.13043
ALB,1980,48.14956
ALB,1981,48.18254
ALB,1982,48.231
ALB,1983,48.294266
ALB,1984,48.37192
ALB,1985,48.463974
ALB,1986,48.568375
ALB,1987,48.684025
ALB,1988,48.812283
ALB,1989,48.954597
ALB,1990,49.108665
ALB,1991,49.269356
ALB,1992,49.434566
ALB,1993,49.601284
ALB,1994,49.763313
ALB,1995,49.917183
ALB,1996,50.058277
ALB,1997,50.186386
ALB,1998,50.293007
ALB,1999,50.371136
ALB,2000,50.421696
ALB,2001,50.4394
ALB,2002,50.42559
ALB,2003,50.385696
ALB,2004,50.327824
ALB,2005,50.26017
ALB,2006,50.188602
ALB,2007,50.114044
ALB,2008,50.040062
ALB,2009,49.973297
ALB,2010,49.917538
ALB,2011,49.876995
ALB,2012,49.852207
ALB,2013,49.840595
ALB,2014,49.837696
ALB,2015,49.84241
ALB,2016,49.856564
ALB,2017,49.878532
ALB,2018,49.906067
ALB,2019,49.93933
ALB,2020,49.988052
ALB,2021,50.04904
ALB,2022,50.117737
DZA,1960,49.56815
DZA,1961,49.54922
DZA,1962,49.44425
DZA,1963,49.317616
DZA,1964,49.144753
DZA,1965,48.956123
DZA,1966,48.868008
DZA,1967,48.87132
DZA,1968,48.872444
DZA,1969,48.872456
DZA,1970,48.872364
DZA,1971,48.87249
DZA,1972,48.873978
DZA,1973,48.876266
DZA,1974,48.881718
DZA,1975,48.90616
DZA,1976,48.937687
DZA,1977,48.95953
DZA,1978,48.97995
DZA,1979,49.001686
DZA,1980,49.02517
DZA,1981,49.049572
DZA,1982,49.074715
DZA,1983,49.09939
DZA,1984,49.12034
DZA,1985,49.138107
DZA,1986,49.15521
DZA,1987,49.167297
DZA,1988,49.170498
DZA,1989,49.17041
DZA,1990,49.17171
DZA,1991,49.17549
DZA,1992,49.182613
DZA,1993,49.190525
DZA,1994,49.200367
DZA,1995,49.21515
DZA,1996,49.157585
DZA,1997,49.023212
DZA,1998,48.964485
DZA,1999,48.979248
DZA,2000,48.989777
DZA,2001,48.998875
DZA,2002,49.005444
DZA,2003,49.007305
DZA,2004,49.006325
DZA,2005,49.00454
DZA,2006,49.0029
DZA,2007,49.003784
DZA,2008,49.005585
DZA,2009,49.008633
DZA,2010,49.011433
DZA,2011,49.013756
DZA,2012,49.01851
DZA,2013,49.024277
DZA,2014,49.030834
DZA,2015,49.03737
DZA,2016,49.041508
DZA,2017,49.044548
DZA,2018,49.048107
DZA,2019,49.05347
DZA,2020,49.063175
DZA,2021,49.075874
DZA,2022,49.085533
ASM,1960,48.648247
ASM,1961,48.67158
ASM,1962,48.71662
ASM,1963,48.763042
ASM,1964,48.812675
ASM,1965,48.88205
ASM,1966,48.926292
ASM,1967,48.941566
ASM,1968,48.972977
ASM,1969,49.03773
ASM,1970,49.063713
ASM,1971,49.0378
ASM,1972,48.989773
ASM,1973,48.946686
ASM,1974,48.921135
ASM,1975,48.91624
ASM,1976,48.92377
ASM,1977,48.932373
ASM,1978,48.93407
ASM,1979,48.93743
ASM,1980,48.93572
ASM,1981,48.897503
ASM,1982,48.844967
ASM,1983,48.809036
ASM,1984,48.779083
ASM,1985,48.75829
ASM,1986,48.737293
ASM,1987,48.70921
ASM,1988,48.681847
ASM,1989,48.66488
ASM,1990,48.686687
ASM,1991,48.730404
ASM,1992,48.76792
ASM,1993,48.806034
ASM,1994,48.842945
ASM,1995,48.881107
ASM,1996,48.922935
ASM,1997,48.95642
ASM,1998,48.990337
ASM,1999,49.02247
ASM,2000,49.06749
ASM,2001,49.12043
ASM,2002,49.174072
ASM,2003,49.224213
ASM,2004,49.26943
ASM,2005,49.3066
ASM,2006,49.3411
ASM,2007,49.38013
ASM,2008,49.428352
ASM,2009,49.499695
ASM,2010,49.57064
ASM,2011,49.62438
ASM,2012,49.68803
ASM,2013,49.757523
ASM,2014,49.824768
ASM,2015,49.89293
ASM,2016,49.968285
ASM,2017,50.06166
ASM,2018,50.161076
ASM,2019,50.26521
ASM,2020,50.37563
ASM,2021,50.50738
ASM,2022,50.59291
AND,1960,49.454624
AND,1961,49.236492
AND,1962,49.04667
AND,1963,48.84703
AND,1964,48.660362
AND,1965,48.49222
AND,1966,48.301937
AND,1967,48.034298
AND,1968,47.75455
AND,1969,47.52019
AND,1970,47.321247
AND,1971,47.162556
AND,1972,47.017345
AND,1973,46.886402
AND,1974,46.783062
AND,1975,46.700436
AND,1976,46.637535
AND,1977,46.605705
AND,1978,46.580093
AND,1979,46.549706
AND,1980,46.499676
AND,1981,46.456863
AND,1982,46.520546
AND,1983,46.66848
AND,1984,46.807804
AND,1985,46.951538
AND,1986,47.016773
AND,1987,47.01795
AND,1988,47.019375
AND,1989,47.014854
AND,1990,47.00293
AND,1991,47.054153
AND,1992,47.158844
AND,1993,47.237812
AND,1994,47.30737
AND,1995,47.365242
AND,1996,47.47533
AND,1997,47.63922
AND,1998,47.80014
AND,1999,47.96588
AND,2000,48.129265
AND,2001,48.170155
AND,2002,48.096657
AND,2003,48.00357
AND,2004,47.90142
AND,2005,47.78769
AND,2006,47.85779
AND,2007,48.14374
AND,2008,48.470184
AND,2009,48.834156
AND,2010,49.23447
AND,2011,49.44946
AND,2012,49.46559
AND,2013,49.496265
AND,2014,49.52877
AND,2015,49.55956
AND,2016,49.50786
AND,2017,49.37362
AND,2018,49.2488
AND,2019,49.123035
AND,2020,49.014156
AND,2021,48.932106
AND,2022,48.90509
AGO,1960,49.84379
AGO,1961,49.700947
AGO,1962,49.673798
AGO,1963,49.63498
AGO,1964,49.57679
AGO,1965,49.488335
AGO,1966,49.364407
AGO,1967,49.213634
AGO,1968,49.06103
AGO,1969,48.952953
AGO,1970,48.98
AGO,1971,49.100273
AGO,1972,49.215607
AGO,1973,49.32556
AGO,1974,49.42949
AGO,1975,49.53161
AGO,1976,49.633842
AGO,1977,49.732098
AGO,1978,49.82417
AGO,1979,49.909714
AGO,1980,49.989452
AGO,1981,50.063007
AGO,1982,50.130768
AGO,1983,50.19986
AGO,1984,50.27001
AGO,1985,50.334076
AGO,1986,50.391712
AGO,1987,50.45826
AGO,1988,50.529846
AGO,1989,50.5923
AGO,1990,50.650017
AGO,1991,50.692753
AGO,1992,50.728672
AGO,1993,50.78716
AGO,1994,50.85133
AGO,1995,50.871567
AGO,1996,50.858807
AGO,1997,50.846355
AGO,1998,50.843964
AGO,1999,50.85715
AGO,2000,50.867874
AGO,2001,50.875298
AGO,2002,50.879883
AGO,2003,50.868816
AGO,2004,50.849483
AGO,2005,50.82919
AGO,2006,50.809483
AGO,2007,50.790695
AGO,2008,50.770992
AGO,2009,50.751442
AGO,2010,50.73376
AGO,2011,50.71682
AGO,2012,50.701107
AGO,2013,50.686264
AGO,2014,50.67163
AGO,2015,50.657497
AGO,2016,50.642097
AGO,2017,50.625717
AGO,2018,50.611614
AGO,2019,50.59888
AGO,2020,50.58856
AGO,2021,50.580795
AGO,2022,50.57244
ATG,1960,52.33819
ATG,1961,52.294426
ATG,1962,52.269855
ATG,1963,52.253452
ATG,1964,52.273968
ATG,1965,52.343906
ATG,1966,52.424316
ATG,1967,52.506615
ATG,1968,52.585464
ATG,1969,52.663864
ATG,1970,52.703938
ATG,1971,52.72275
ATG,1972,52.773785
ATG,1973,52.838062
ATG,1974,52.90417
ATG,1975,52.966347
ATG,1976,53.01297
ATG,1977,53.045216
ATG,1978,53.06316
ATG,1979,53.079292
ATG,1980,53.09991
ATG,1981,53.11943
ATG,1982,53.140377
ATG,1983,53.161694
ATG,1984,53.061413
ATG,1985,52.85328
ATG,1986,52.650204
ATG,1987,52.452877
ATG,1988,52.25532
ATG,1989,52.046013
ATG,1990,51.847523
ATG,1991,51.727066
ATG,1992,51.79016
ATG,1993,51.967068
ATG,1994,52.143963
ATG,1995,52.31001
ATG,1996,52.475716
ATG,1997,52.63136
ATG,1998,52.76553
ATG,1999,52.883327
ATG,2000,52.958496
ATG,2001,52.985634
ATG,2002,52.974934
ATG,2003,52.934998
ATG,2004,52.8914
ATG,2005,52.84779
ATG,2006,52.803017
ATG,2007,52.758
ATG,2008,52.711678
ATG,2009,52.667564
ATG,2010,52.625008
ATG,2011,52.563732
ATG,2012,52.492188
ATG,2013,52.432285
ATG,2014,52.38693
ATG,2015,52.35321
ATG,2016,52.325428
ATG,2017,52.303032
ATG,2018,52.28865
ATG,2019,52.276997
ATG,2020,52.261936
ATG,2021,52.252224
ATG,2022,52.239155
ARG,1960,49.918377
ARG,1961,49.97458
ARG,1962,50.016743
ARG,1963,50.059998
ARG,1964,50.103413
ARG,1965,50.145782
ARG,1966,50.184998
ARG,1967,50.22359
ARG,1968,50.265247
